model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,-0.4018602334807484,-0.9628290338540336,-1.0616257717868025,-0.8968710775413892,-0.32016224129055865,-0.8679496734648052,-1.020153618671622,-0.6096919107731589,-0.527613198991485,-0.5642750125884531,-0.6013957565014167,-0.22462452545477754,-0.7787843439015338,1300000.0
7 CCM Champ,Piston,-0.4354120980459987,-1.0939194039501707,-1.139714236665974,-1.019097711857224,-0.3250460091159812,-0.7650028103060429,-1.1801404539988885,-1.3163798817524452,-0.5953439255035909,-0.6277441566655643,-1.0005921728993363,-0.3809118700374308,-1.0377482211691083,1230000.0
100 Darter (S.L. Industries),Piston,-0.4326161093322278,-1.0851800459437615,-1.188519527215456,-1.4468909319626457,-0.3241157676254245,-0.730687189253122,-1.3979003131943346,-1.2457110846545165,-0.6001818345401699,-0.629507188445484,-0.929307098542565,-0.5078953375108366,-1.0089744570282666,1600000.0
7 AC Champ,Piston,-0.4354120980459987,-1.1026587619565797,-1.188519527215456,-1.4468909319626457,-0.3241157676254245,-0.7512765618848746,-1.375679919398881,-1.2457110846545165,-0.6001818345401699,-0.6312702202254038,-0.929307098542565,-0.5078953375108366,-1.0089744570282666,1300000.0
100 Darter (S.L. Industries),Piston,-0.44659605290108206,-1.1463555519886255,-1.2275637596550417,-1.6913442005943153,-0.32527856948862033,-0.9228546671494785,-1.2583562401588855,-1.1962429266859664,-0.6079224889986964,-0.6418484109049223,-0.929307098542565,-0.5078953375108366,-1.0593285442747393,1250000.0
PA-60-700P Aerostar (preliminary),Piston,-0.44659605290108206,-1.1900523420206712,-1.2470858758748347,-1.6913442005943153,-0.3250460091159812,-0.9297177913600627,-1.3019082119979746,-1.2033098063957595,-0.605019743576749,-0.6337384647172914,-1.0219776952063677,-0.3809118700374308,-1.052135103239529,1100000.0
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,-0.2872246962161433,0.43546824717142807,0.29516130548880115,1.1809817058278023,-0.29016195322010613,0.07229834338522477,0.9174647202919383,0.5210088427936992,-0.11493955817129628,-0.018616676703288794,0.2183825986014541,-0.31253615678252006,-0.0623176167945782,2500000.0
100 Darter (S.L. Industries),Piston,-0.3207765607813936,0.4179895311586098,0.4610992933570404,0.99764175435405,-0.29016195322010613,0.027688036016427726,0.1797476462828763,0.4870878201866935,-0.14541838510174399,-0.04506215340208513,0.21125409116577695,-0.32230411581893587,0.1563629906758179,2800000.0
"PA-601, 601A, turbochg Aerostar",Piston,-0.3207765607813936,0.37429274112656413,0.3439665960382833,0.99764175435405,-0.29016195322010613,-0.174774128195805,0.39306342671923156,0.42207252685659913,-0.14541838510174399,-0.05722707268353144,0.2183825986014541,-0.31253615678252006,0.27289673544622634,2500000.0
100 Darter (S.L. Industries),Piston,-0.3207765607813936,0.37429274112656413,0.36348871225807616,0.99764175435405,-0.29016195322010613,-0.174774128195805,0.39306342671923156,0.42207252685659913,-0.14541838510174399,-0.07450478412674504,0.2183825986014541,-0.31253615678252006,0.37792097456029816,3000000.0
G164B-600 AG-CAT (design category) sprayer,Piston,-0.3207765607813936,0.496643753216292,0.35372765414817975,0.5087352170907109,-0.2880689098663536,-0.010059147141785157,0.13530685869196893,-0.15034472963662276,-0.174445839321218,-0.11117584514907596,0.2183825986014541,-0.605574927874995,0.37792097456029816,3010000.0
100 Darter (S.L. Industries),Piston,-0.3207765607813936,0.05093649488942609,0.11946225951066543,0.8143018028802979,-0.29016195322010613,0.05857209496405645,-0.0868970792625678,0.15353109788447036,-0.19379747546753398,-0.11346778646297163,0.2183825986014541,-0.605574927874995,0.41532686794339224,2120000.0
100 Darter (S.L. Industries),Piston,-0.14742526052760058,-0.7530844417002144,-1.0128204812373203,-0.10239795448846305,-0.317836637564167,-0.07869038924762677,-1.055706248744348,-1.3587811600112023,-0.290555656199114,-0.21519472016434152,-0.6798093382938653,-0.4004477881102625,-1.0981731258648755,1450000.0
A-2,Piston,-0.23130492194072624,-0.7530844417002144,-1.0616257717868025,-0.5301911745938848,-0.317836637564167,-0.44929909661917145,-0.8512786258261742,-0.8216983020669447,-0.290555656199114,-0.22577291084386006,-0.5728817267587082,0.34191709865734066,-1.0377482211691083,1450000.0
