model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,4.976733742420574,4.6443908991413725,4.51085950651685,46.0,3.58351893845611,6.1092475827643655,6.802394763324311,7.170119543449628,7.6255950721324535,7.07326971745971,5.713732805509369,6.1070228877422545,5.91350300563827,14.077874822431765
7 CCM Champ,Piston,4.442651256490317,4.48863636973214,4.418840607796598,44.0,2.70805020110221,6.396929655216146,6.579251212010101,6.684611727667927,7.2078598714324755,6.709304340258298,5.5093883366279774,6.07073772800249,5.247024072160486,14.0225247273486
100 Darter (S.L. Industries),Piston,4.499809670330265,4.499809670330265,4.356708826689592,37.0,2.9444389791664403,6.476972362889683,6.163314804034641,6.745236349484363,7.170119543449628,6.697034247666484,5.54907608489522,6.040254711277414,5.3471075307174685,14.28551418721001
7 AC Champ,Piston,4.442651256490317,4.477336814478207,4.356708826689592,37.0,2.9444389791664403,6.429719478039138,6.214608098422191,6.745236349484363,7.170119543449628,6.684611727667927,5.54907608489522,6.040254711277414,5.3471075307174685,14.077874822431765
100 Darter (S.L. Industries),Piston,4.174387269895637,4.418840607796598,4.30406509320417,33.0,2.6390573296152584,5.91350300563827,6.448889394146858,6.785587645007929,7.106606137727303,6.606650186198215,5.54907608489522,6.040254711277414,5.1647859739235145,14.038654109278484
PA-60-700P Aerostar (preliminary),Piston,4.174387269895637,4.356708826689592,4.276666119016055,33.0,2.70805020110221,5.886104031450156,6.368187186350492,6.779921907472252,7.1308988302963465,6.666956792429207,5.497168225293202,6.07073772800249,5.19295685089021,13.9108207377686
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,5.857933154483459,5.575949103146316,5.438079308923196,80.0,5.10594547390058,7.506591780070841,8.03268487596762,7.649692623711514,8.750683034784592,8.360539381370861,6.035481432524756,6.0867747269123065,6.7661917146603505,14.73180128983843
100 Darter (S.L. Industries),Piston,5.66988092298052,5.568344503761097,5.5093883366279774,77.0,5.10594547390058,7.470224135899966,7.718685495198466,7.638198244285779,8.699514748210191,8.324821298768782,6.0330862217988015,6.0844994130751715,6.927557906278317,14.845129975145433
"PA-601, 601A, turbochg Aerostar",Piston,5.66988092298052,5.54907608489522,5.459585514144159,77.0,5.10594547390058,7.286191714702382,7.820037989458753,7.615791072035833,8.699514748210191,8.30795254527102,6.035481432524756,6.0867747269123065,7.00397413672268,14.73180128983843
100 Darter (S.L. Industries),Piston,5.66988092298052,5.54907608489522,5.4680601411351315,77.0,5.10594547390058,7.286191714702382,7.820037989458753,7.615791072035833,8.699514748210191,8.28349412616251,6.035481432524756,6.0867747269123065,7.068172000388042,14.914122846632385
G164B-600 AG-CAT (design category) sprayer,Piston,5.66988092298052,5.602118820879701,5.4638318050256105,69.0,5.159055299214529,7.438383530044307,7.696212639346407,7.393263094763838,8.648221453822641,8.229511118964457,6.035481432524756,6.016157159698354,7.068172000388042,14.917450636725059
100 Darter (S.L. Industries),Piston,5.66988092298052,5.393627546352362,5.356586274672012,74.0,5.10594547390058,7.495541943884256,7.575584651557793,7.517520850603031,8.612503371220562,8.226038429485484,6.035481432524756,6.016157159698354,7.090076835776092,14.566926646648195
